Date,County,Cases,Deaths,Tests,dtests,dcases,ddeaths
2020-03-01,Middlesex,0,0,0,0,0,0
2020-03-02,Middlesex,0,0,0,0,0,0
2020-03-03,Middlesex,0,0,0,0,0,0
2020-03-04,Middlesex,0,0,0,0,0,0
2020-03-05,Middlesex,1,0,0,0,1,0
2020-03-06,Middlesex,1,0,0,0,0,0
2020-03-07,Middlesex,5,0,0,0,4,0
2020-03-08,Middlesex,10,0,0,0,5,0
2020-03-09,Middlesex,15,0,0,0,5,0
2020-03-10,Middlesex,41,0,0,0,26,0
2020-03-11,Middlesex,44,0,0,0,3,0
2020-03-12,Middlesex,49,0,0,0,5,0
2020-03-13,Middlesex,60,0,0,0,11,0
2020-03-14,Middlesex,65,0,0,0,5,0
2020-03-15,Middlesex,75,0,0,0,10,0
2020-03-16,Middlesex,83,0,1296,1296,8,0
2020-03-17,Middlesex,89,0,1751,455,6,0
2020-03-18,Middlesex,100,0,2280,529,11,0
2020-03-19,Middlesex,119,0,3176,896,19,0
2020-03-20,Middlesex,144,0,4150,974,25,0
2020-03-21,Middlesex,177,0,5295,1145,33,0
2020-03-22,Middlesex,199,0,6124,829,22,0
2020-03-23,Middlesex,232,0,8941,2817,33,0
2020-03-24,Middlesex,304,0,13768,4827,72,0
2020-03-25,Middlesex,446,0,19818,6050,142,0
2020-03-26,Middlesex,538,0,23645,3827,92,0
2020-03-27,Middlesex,685,0,29395,5750,147,0
2020-03-28,Middlesex,842,0,35073,5678,157,0
2020-03-29,Middlesex,981,0,39090,4017,139,0
2020-03-30,Middlesex,1141,0,42819,3729,160,0
2020-03-31,Middlesex,1340,0,46961,4142,199,0
2020-04-01,Middlesex,1582,0,51764,4803,242,0
2020-04-02,Middlesex,1870,0,56634,4870,288,0
2020-04-03,Middlesex,2202,0,62988,6354,332,0
2020-04-04,Middlesex,2468,0,68828,5840,266,0
2020-04-05,Middlesex,2632,0,71967,3139,164,0
2020-04-06,Middlesex,2950,0,76459,4492,318,0
2020-04-07,Middlesex,3187,69,81374,4915,237,69
2020-04-08,Middlesex,3545,80,87541,6167,358,11
2020-04-09,Middlesex,4045,93,94989,7448,500,13
2020-04-10,Middlesex,4447,109,102442,7453,402,16
2020-04-11,Middlesex,4872,137,108881,6439,425,28
2020-04-12,Middlesex,5660,149,116844,7963,788,12
2020-04-13,Middlesex,5983,163,122294,5450,323,14
2020-04-14,Middlesex,6254,188,126929,4635,271,25
2020-04-15,Middlesex,6681,227,132760,5831,427,39
2020-04-16,Middlesex,7206,264,142590,9830,525,37
2020-04-17,Middlesex,7744,300,152320,9730,538,36
2020-04-18,Middlesex,8297,341,162131,9811,553,41
2020-04-19,Middlesex,8737,381,169115,6984,440,40
2020-04-20,Middlesex,9253,402,177462,8347,516,21
2020-04-21,Middlesex,9621,428,184612,7150,368,26
2020-04-22,Middlesex,10094,494,189702,5090,473,66
2020-04-23,Middlesex,10724,545,204316,14614,630,51
2020-04-24,Middlesex,11681,585,215213,10897,957,40
2020-04-25,Middlesex,12253,629,226845,11632,572,44
2020-04-26,Middlesex,12648,670,236100,9255,395,41
2020-04-27,Middlesex,12953,700,244887,8787,305,30
2020-04-28,Middlesex,13417,731,254500,9613,464,31
2020-04-29,Middlesex,13799,802,265618,11118,382,71
2020-04-30,Middlesex,14208,845,275647,10029,409,43
2020-05-01,Middlesex,14607,885,289636,13989,399,40
2020-05-02,Middlesex,15048,923,298994,9358,441,38
2020-05-03,Middlesex,15370,972,314646,15652,322,49
2020-05-04,Middlesex,15757,997,324268,9622,387,25
2020-05-05,Middlesex,15980,1028,333349,9081,223,31
2020-05-06,Middlesex,16327,1070,339639,6290,347,42
2020-05-07,Middlesex,16676,1103,351632,11993,349,33
2020-05-08,Middlesex,17014,1132,366023,14391,338,29
2020-05-09,Middlesex,17307,1169,376537,10514,293,37
2020-05-10,Middlesex,17589,1207,388389,11852,282,38
2020-05-11,Middlesex,17774,1235,394728,6339,185,28
2020-05-12,Middlesex,17953,1244,401496,6768,179,9
2020-05-13,Middlesex,18201,1282,410032,8536,248,38
2020-05-14,Middlesex,18381,1327,424361,14329,180,45
2020-05-15,Middlesex,18683,1347,435679,11318,302,20
2020-05-16,Middlesex,18883,1370,448089,12410,200,23
2020-05-17,Middlesex,19129,1394,460826,12737,246,24
2020-05-18,Middlesex,19345,1412,469199,8373,216,18
2020-05-19,Middlesex,19504,1436,476940,7741,159,24
2020-05-20,Middlesex,19708,1462,489953,13013,204,26
2020-05-21,Middlesex,19930,1478,501486,11533,222,16
2020-05-22,Middlesex,20085,1496,511644,10158,155,18
2020-05-23,Middlesex,20232,1512,520986,9342,147,16
